FECHA,x20,x20p,x50,x50p,x100,x200,x500,x1000
 Ene 1993,91.483,N/E,412.974,N/E,105.249,N/E,N/E,N/E
 Feb 1993,84.605,N/E,374.272,N/E,105.352,N/E,N/E,N/E
 Mar 1993,86.534,N/E,383.759,N/E,108.686,N/E,N/E,N/E
 Abr 1993,88.506,N/E,377.852,N/E,114.11,N/E,N/E,N/E
 May 1993,89.281,N/E,381.958,N/E,121.645,N/E,N/E,N/E
 Jun 1993,88.904,N/E,363.595,N/E,129.539,N/E,N/E,N/E
 Jul 1993,84.442,N/E,333.051,N/E,142.642,N/E,N/E,N/E
 Ago 1993,82.221,N/E,304.441,N/E,140.176,N/E,N/E,N/E
 Sep 1993,82.752,N/E,290.999,N/E,145.083,N/E,N/E,N/E
 Oct 1993,87.059,N/E,293.344,N/E,161.676,N/E,N/E,N/E
 Nov 1993,89.026,N/E,287.811,N/E,173.9,N/E,N/E,N/E
 Dic 1993,101.436,N/E,336.121,N/E,234.2,N/E,N/E,N/E
 Ene 1994,93.935,N/E,292.21,N/E,211.75,N/E,N/E,N/E
 Feb 1994,91.87,N/E,279.687,N/E,211.695,N/E,N/E,N/E
 Mar 1994,94.115,N/E,289.471,N/E,229.472,N/E,N/E,N/E
 Abr 1994,101.106,N/E,262.407,N/E,216.274,N/E,N/E,N/E
 May 1994,109.89,N/E,255.159,N/E,221.636,N/E,N/E,N/E
 Jun 1994,116.924,N/E,252.917,N/E,230.991,N/E,N/E,N/E
 Jul 1994,125.606,N/E,253.094,N/E,245.052,N/E,N/E,N/E
 Ago 1994,121.651,N/E,242.487,N/E,243.451,N/E,N/E,N/E
 Sep 1994,122.455,N/E,237.796,N/E,240.496,N/E,N/E,N/E
 Oct 1994,108.159,N/E,238.842,N/E,240.978,3.33,1.132,N/E
 Nov 1994,106.125,N/E,254.404,N/E,251.543,10.399,3.146,N/E
 Dic 1994,108.88,N/E,282.79,N/E,271.92,20.67,6.77,N/E
 Ene 1995,97.51,N/E,244.9,N/E,239.01,20.5,6.52,N/E
 Feb 1995,91.81,N/E,236.7,N/E,227.38,21.79,6.58,N/E
 Mar 1995,87.95,N/E,227.07,N/E,215.67,23.1,6.91,N/E
 Abr 1995,86.18,N/E,221.1,N/E,205.13,24.65,7.17,N/E
 May 1995,82.39,N/E,209.87,N/E,194.75,26.29,7.25,N/E
 Jun 1995,81.77,N/E,211.49,N/E,196.6,28.17,7.51,N/E
 Jul 1995,81.47,N/E,211.96,N/E,198.61,30.45,7.96,N/E
 Ago 1995,79.97,N/E,206.67,N/E,194.88,31.94,8.19,N/E
 Sep 1995,78.5,N/E,201.6,N/E,190.9,32.58,8.32,N/E
 Oct 1995,80.16,N/E,204.7,N/E,194.32,34.55,8.83,N/E
 Nov 1995,95.15,N/E,225.71,N/E,212.71,39.95,10.57,N/E
 Dic 1995,121.43,N/E,277.05,N/E,258.91,53.96,15.55,N/E
 Ene 1996,110.86,N/E,230.03,N/E,220.96,47.1,13.57,N/E
 Feb 1996,109.278,N/E,226.291,N/E,218.241,46.963,13.321,N/E
 Mar 1996,112.07,N/E,232.69,N/E,226.06,49.93,13.86,N/E
 Abr 1996,105.7,N/E,219.26,N/E,215.96,47.98,13.61,N/E
 May 1996,106.15,N/E,232.23,N/E,227.98,52.08,14.9,N/E
 Jun 1996,106.21,N/E,233.66,N/E,233.32,53.47,15.33,N/E
 Jul 1996,102.42,N/E,224.85,N/E,231.94,53.75,15.83,N/E
 Ago 1996,101.429,N/E,220.349,N/E,232.315,53.104,15.957,N/E
 Sep 1996,102.545,N/E,220.63,N/E,233.952,52.702,15.879,N/E
 Oct 1996,111.245,N/E,229.978,N/E,249.122,54.673,16.49,N/E
 Nov 1996,120.879,N/E,245.029,N/E,270.167,59.304,18.739,N/E
 Dic 1996,136.45,N/E,282.31,N/E,335.55,71.67,24.92,N/E
 Ene 1997,124.39,N/E,249.35,N/E,307.49,65.42,22.61,N/E
 Feb 1997,126.4,N/E,245.161,N/E,304.556,64.588,22.354,N/E
 Mar 1997,132.399,N/E,258.997,N/E,320.152,67.431,22.87,N/E
 Abr 1997,131.136,N/E,247.514,N/E,313.402,66.76,23.107,N/E
 May 1997,132.784,N/E,248.553,N/E,315.388,74.295,25.004,N/E
 Jun 1997,132.707,N/E,240.633,N/E,308.445,77.362,25.196,N/E
 Jul 1997,130.678,N/E,236.53,N/E,302.585,90.975,26.139,N/E
 Ago 1997,129.273,N/E,229.687,N/E,283.175,104.668,24.535,N/E
 Sep 1997,128.415,N/E,221.312,N/E,257.652,113.801,23.329,N/E
 Oct 1997,132.778,N/E,232.876,N/E,250.559,133.536,23.415,N/E
 Nov 1997,143.775,N/E,247.521,N/E,251.864,155.583,25.204,N/E
 Dic 1997,171.686,N/E,284.918,N/E,278.244,203.056,31.152,N/E
 Ene 1998,162.91,N/E,249.79,N/E,242.95,189.91,28.15,N/E
 Feb 1998,165.73,N/E,245.99,N/E,232.27,193.56,27.11,N/E
 Mar 1998,166.83,N/E,236.46,N/E,218.42,191.76,26.54,N/E
 Abr 1998,171.74,N/E,242.72,N/E,222.26,201.52,27.45,N/E
 May 1998,172.6,N/E,244.79,N/E,227.89,206.58,29.28,N/E
 Jun 1998,170.48,N/E,234.01,N/E,219.2,202.07,29.32,N/E
 Jul 1998,170.4,N/E,239.33,N/E,223.09,212.86,30.93,N/E
 Ago 1998,169.97,N/E,232.94,N/E,215.64,211.38,30.93,N/E
 Sep 1998,169.237,N/E,227.593,N/E,209.391,209.312,30.524,N/E
 Oct 1998,173.296,N/E,240.375,N/E,218.887,222.672,31.892,N/E
 Nov 1998,177.301,N/E,246.32,N/E,221.831,231.662,34.141,N/E
 Dic 1998,202.735,N/E,294.718,N/E,264.663,282.789,43.397,N/E
 Ene 1999,185.918,N/E,265.857,N/E,239.873,263.409,40.619,N/E
 Feb 1999,181.52,N/E,257.308,N/E,230.872,259.601,39.325,N/E
 Mar 1999,183.084,N/E,272.065,N/E,239.155,279.278,40.099,N/E
 Abr 1999,176.394,N/E,251.916,N/E,221.932,262.918,39.558,N/E
 May 1999,177.426,N/E,256.522,N/E,225.411,273.411,42.107,N/E
 Jun 1999,174.471,N/E,249.238,N/E,219.369,269.681,44.626,N/E
 Jul 1999,175.041,N/E,251.741,N/E,219.523,276.358,52.309,N/E
 Ago 1999,172.762,N/E,243.488,N/E,208.609,264.807,56.8,N/E
 Sep 1999,173.662,N/E,242.809,N/E,205.624,261.961,61.98,N/E
 Oct 1999,176.421,N/E,252.87,N/E,212.98,272.867,67.887,N/E
 Nov 1999,180.949,N/E,256.755,N/E,216.646,281.374,75.437,N/E
 Dic 1999,213.742,N/E,333.944,N/E,288.095,392.218,103.67,N/E
 Ene 2000,187.4,N/E,266.188,N/E,230.584,318.796,89.157,N/E
 Feb 2000,183.187,N/E,254.811,N/E,218.749,306.347,84.056,N/E
 Mar 2000,183.037,N/E,258.259,N/E,222.211,318.758,83.911,N/E
 Abr 2000,185.038,N/E,266.645,N/E,228.879,334.423,87.088,N/E
 May 2000,179.761,N/E,258.456,N/E,225.358,330.83,88.101,N/E
 Jun 2000,180.784,N/E,265.149,N/E,232.371,348.722,93.111,N/E
 Jul 2000,174.271,N/E,255.132,N/E,226.238,341.132,91.735,N/E
 Ago 2000,172.959,N/E,246.986,N/E,218.962,334.029,88.101,N/E
 Sep 2000,175.352,N/E,251.629,N/E,224.962,344.977,89.071,N/E
 Oct 2000,176.85,N/E,249.549,N/E,225.043,349.064,89.978,N/E
 Nov 2000,182.713,N/E,263.7,N/E,239.217,379.349,97.546,N/E
 Dic 2000,200.715,N/E,304.92,N/E,286.789,456.94,118.893,N/E
 Ene 2001,183.221,N/E,256.971,N/E,240.779,389.678,106.038,N/E
 Feb 2001,178.772,N/E,247.682,N/E,229.144,377.221,102.94,N/E
 Mar 2001,177.937,N/E,247.997,N/E,227.54,379.191,102.972,N/E
 Abr 2001,175.241,N/E,243.476,N/E,224.159,375.616,102.657,N/E
 May 2001,174.508,N/E,243.726,N/E,229.145,384.986,105.489,N/E
 Jun 2001,173.619,N/E,244.032,N/E,229.652,393.463,106.99,N/E
 Jul 2001,169.025,N/E,232.938,N/E,224.233,382.872,108.338,N/E
 Ago 2001,167.85,N/E,229.132,N/E,222.595,384.473,108.529,N/E
 Sep 2001,169.6,N/E,230.775,N/E,227.51,390.524,111.167,N/E
 Oct 2001,167.084,N/E,224.252,N/E,223.755,386.915,112.189,N/E
 Nov 2001,173.268,N/E,236.207,N/E,239.928,415.838,121.79,N/E
 Dic 2001,182.461,N/E,263.675,N/E,276.544,484.748,145.924,N/E
 Ene 2002,171.808,N/E,236.534,N/E,247.95,438.498,136.319,N/E
 Feb 2002,167.972,N/E,228.989,N/E,238.915,425.346,135.311,N/E
 Mar 2002,178.154,N/E,247.692,N/E,256.795,460.079,142.863,N/E
 Abr 2002,175.451,N/E,223.519,N/E,236.526,420.681,136.13,N/E
 May 2002,180.595,N/E,228.59,N/E,244.611,438.479,142.887,N/E
 Jun 2002,183.929,N/E,228.714,N/E,244.787,441.586,146.092,N/E
 Jul 2002,177.412,N/E,223.343,N/E,238.042,433.179,146.679,N/E
 Ago 2002,177.965,N/E,223.932,N/E,234.363,430.696,148.984,N/E
 Sep 2002,176.671,2.439,256.399,N/E,256.761,410.469,150.698,N/E
 Oct 2002,144.438,37.163,282.883,N/E,274.969,398.341,155.191,N/E
 Nov 2002,128.652,65.606,323.984,N/E,307.515,414.068,164.465,N/E
 Dic 2002,112.002,102.111,321.886,N/E,374.22,480.673,196.524,N/E
 Ene 2003,89.512,116.061,298.214,N/E,346.97,435.785,187.118,N/E
 Feb 2003,75.435,129.6,321.316,N/E,344.449,416.242,184.051,N/E
 Mar 2003,64.709,138.678,342.096,N/E,348.239,399.172,181.344,N/E
 Abr 2003,56.088,150.637,384.489,N/E,371.587,398.682,184.675,N/E
 May 2003,50.366,154.728,409.975,N/E,383.956,392.828,186.921,N/E
 Jun 2003,46.443,156.595,340.494,N/E,358.088,388.323,188.629,N/E
 Jul 2003,43.228,154.926,343.914,N/E,361.471,389.539,192.462,N/E
 Ago 2003,41.273,157.477,344.364,N/E,362.562,386.228,193.613,N/E
 Sep 2003,39.617,156.885,338.93,N/E,359.005,376.967,191.423,N/E
 Oct 2003,38.369,161.252,356.387,N/E,375.219,390.361,199.717,N/E
 Nov 2003,37.536,167.59,371.656,N/E,387.847,410.342,211.349,N/E
 Dic 2003,36.815,185.329,393.143,N/E,455.989,485.978,251.057,N/E
 Ene 2004,36.021,177.954,351.389,N/E,410.957,434.696,235.365,N/E
 Feb 2004,35.28,177.67,340.257,N/E,403.728,421.656,233.66,N/E
 Mar 2004,34.608,174.792,326.745,N/E,392.723,405.613,231.952,N/E
 Abr 2004,34.191,176.426,334.628,N/E,402.209,413.118,238.321,N/E
 May 2004,33.795,176.985,335.868,N/E,406.991,418.493,242.65,N/E
 Jun 2004,33.423,178.687,333.753,N/E,409.262,417.906,247.697,N/E
 Jul 2004,33.066,173.138,335.729,N/E,413.461,418.842,252.749,N/E
 Ago 2004,32.763,171.436,332.002,N/E,412.73,404.019,249.857,N/E
 Sep 2004,32.486,171.492,342.35,N/E,425.16,403.243,253.917,N/E
 Oct 2004,32.167,177.134,329.525,N/E,413.763,414.15,261.751,N/E
 Nov 2004,31.874,185.605,320.14,N/E,409.437,430.53,271.554,1.868
 Dic 2004,31.675,203.119,349.39,N/E,451.229,505.119,308.559,7.17
 Ene 2005,31.451,197.781,308.289,N/E,402.565,461.725,290.024,8.138
 Feb 2005,31.268,191.64,289.094,N/E,378.637,445.59,283.79,8.794
 Mar 2005,31.375,196.568,286.385,N/E,377.996,454.219,287.872,9.973
 Abr 2005,31.358,194.382,279.208,N/E,364.423,446.813,282.517,11.016
 May 2005,31.182,197.679,275.632,N/E,366.294,445.838,282.658,11.755
 Jun 2005,31.1,197.287,276.107,N/E,369.229,449.495,292.275,12.692
 Jul 2005,31.091,195.988,274.344,N/E,369.517,451.054,294.151,13.168
 Ago 2005,30.956,183.992,263.76,N/E,328.157,419.278,283.085,13.936
 Sep 2005,30.772,187.343,273.47,N/E,337.262,429.545,287.816,14.393
 Oct 2005,30.767,186.686,279.109,N/E,343.33,435.247,290.638,14.766
 Nov 2005,30.762,195.249,287.839,N/E,356.378,450.381,299.869,15.552
 Dic 2005,30.758,210.361,326.986,N/E,417.259,532.947,347.827,19.101
 Ene 2006,30.547,207.528,301.324,N/E,379.562,483.879,327.295,18.873
 Feb 2006,30.43,204.885,292.349,N/E,364.049,467.546,321.584,18.656
 Mar 2006,30.2,208.341,292.474,N/E,369.636,477.712,328.706,18.991
 Abr 2006,30.174,211.682,301.175,N/E,372.869,485.408,332.148,19.451
 May 2006,30.167,210.053,292.602,N/E,372.008,482.074,334.253,19.725
 Jun 2006,30.058,209.305,296.85,N/E,381.408,495.9,347.674,20.053
 Jul 2006,30.048,207.265,292.712,N/E,377.746,489.305,349.798,20.407
 Ago 2006,30.042,204.783,285.648,N/E,369.152,474.147,346.99,20.668
 Sep 2006,29.568,206.135,292.796,N/E,376.517,481.106,348.566,20.902
 Oct 2006,29.543,205.113,294.315,N/E,378.679,478.788,350.505,21.134
 Nov 2006,29.446,213.18,290.814,25.451,411.697,519.289,375.211,23.09
 Dic 2006,29.442,229.472,250.966,105.726,472.56,600.432,428.218,25.669
 Ene 2007,29.179,218.104,188.43,132.332,408.367,528.884,395.777,24.605
 Feb 2007,28.981,213.163,150.204,161.977,388.728,507.267,388.804,24.503
 Mar 2007,28.979,213.538,119.741,203.33,400.381,523.112,398.236,25.136
 Abr 2007,28.959,210.125,98.41,218.949,386.36,508.15,389.918,24.783
 May 2007,28.657,212.478,84.027,240.294,395.27,517.07,395.848,25.199
 Jun 2007,28.424,211.783,73.44,250.072,392.186,518.707,397.608,25.733
 Jul 2007,28.343,210.701,65.33,250.17,384.308,514.764,398.849,26.394
 Ago 2007,28.292,211.405,59.77,253.629,382.413,518.538,401.815,26.907
 Sep 2007,28.245,215.318,55.847,254.16,381.842,520.275,403.512,27.395
 Oct 2007,28.176,219.575,52.219,256.354,386.057,523.105,410.058,27.529
 Nov 2007,28.128,229.718,51.262,269.218,399.619,546.346,423.33,28.686
 Dic 2007,28.015,251.471,49.875,308.478,462.441,631.78,485.984,34.053
 Ene 2008,27.968,245.107,47.474,278.359,409.854,569.016,456.474,33.173
 Feb 2008,27.961,241.209,45.844,268.799,392.471,547.919,446.575,32.782
 Mar 2008,27.951,243.325,45.504,271.048,392.511,547.002,445.828,33.135
 Abr 2008,27.9,243.4,41.45,269.977,388.921,541.188,444.08,33.407
 May 2008,27.894,246.07,40.475,278.636,394.596,555.087,447.327,33.735
 Jun 2008,27.666,243.912,39.409,274.049,384.311,542.023,447.332,33.94
 Jul 2008,27.656,252.792,38.421,281.753,396.524,563.858,465.086,34.5
 Ago 2008,27.649,251.785,37.827,280.648,391.863,563.311,464.883,34.641
 Sep 2008,27.612,255.848,36.933,279.348,383.79,548.076,463.397,35.021
 Oct 2008,27.601,255.451,35.968,285.785,394.573,569.066,488.519,35.877
 Nov 2008,27.598,266.221,35.439,303.574,418.122,603.938,518.191,37.364
 Dic 2008,27.576,282.717,35.201,340.913,482.645,700.235,594.826,43.561
 Ene 2009,27.569,276.639,34.641,318.685,436.333,651.391,568.277,43.402
 Feb 2009,27.56,271.774,34.102,311.983,417.559,628.345,563.129,43.513
 Mar 2009,27.552,270.284,33.61,305.721,405.241,610.172,561.082,44.307
 Abr 2009,27.539,273.347,33.179,313.792,403.962,611.35,566.235,44.578
 May 2009,27.537,270.582,32.922,311.904,397.758,606.948,567.096,44.959
 Jun 2009,27.536,266.72,32.45,305.925,385.38,582.909,568.39,45.621
 Jul 2009,27.528,269.803,32.231,310.252,391.86,594.497,579.682,46.049
